죄종별,항목,단위,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
아동복지법위반(아동매매),발생건수[건],건,,,,1,-,-,-,-,-,-,부산광역시
아동학대처벌법위반(상습국외이송),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
아동학대처벌법위반(상습약취·유인·인신매매),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
아동학대처벌법위반(상습피약취자·피매매자·피유인자),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
폭력행위등,발생건수[건],건,3076.0,2792,2449.0,1053,940,696,627,594,484,572,부산광역시
폭력행위등처벌에관한법률위반(상습),발생건수[건],건,84.0,193,114.0,1,2,-,-,2,1,2,부산광역시
폭력행위등처벌에관한법률위반(공동),발생건수[건],건,1883.0,1556,1250.0,984,912,674,587,576,474,561,부산광역시
"폭력행위등처벌에관한법률위반(집단,흉기등)",발생건수[건],건,964.0,906,965.0,48,5,3,11,7,2,1,부산광역시
"폭력행위등처벌에관한법률위반(상습집단,흉기등)",발생건수[건],건,41.0,30,25.0,1,-,1,-,1,-,-,부산광역시
폭력행위등처벌에관한법률위반(야간·공동),발생건수[건],건,,,,-,-,1,-,-,-,-,부산광역시
폭력행위등처벌에관한법률위반(야간집단흉기등),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
폭력행위등처벌에관한법률위반(단체등의구성·활동),발생건수[건],건,,,,2,8,3,4,1,2,1,부산광역시
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등]),발생건수[건],건,96.0,96,82.0,7,3,6,13,2,,,부산광역시
폭력행위등처벌에관한법률위반(단체등의[상습·공동·상습특수]),발생건수[건],건,,,,,,,,,2,4,부산광역시
폭력행위등처벌에관한법률위반(단체등의이용·지원),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
폭력행위등처벌에관한법률위반(우범자),발생건수[건],건,8.0,11,13.0,10,10,8,12,5,3,3,부산광역시
공갈,발생건수[건],건,448.0,716,559.0,416,362,379,352,361,330,512,부산광역시
공갈,발생건수[건],건,425.0,716,555.0,407,346,355,339,349,315,500,부산광역시
공갈(상습),발생건수[건],건,1.0,,3.0,6,-,6,5,3,5,2,부산광역시
특경법(공갈),발생건수[건],건,22.0,,1.0,1,2,2,2,1,1,3,부산광역시
아동학대처벌법위반(상습공갈),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
특수공갈,발생건수[건],건,,,,2,14,16,6,8,9,7,부산광역시
특수공갈(상습),발생건수[건],건,,,,,,,,,,-,부산광역시
손괴,발생건수[건],건,3848.0,3810,3641.0,3464,3705,3523,3811,3734,3506,3729,부산광역시
손괴의죄,발생건수[건],건,,3810,3641.0,3464,3705,3523,3811,3734,3506,3729,부산광역시
아동학대처벌법위반(상습손괴),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
지능범죄,발생건수[건],건,28041.0,24345,25374.0,25352,23953,27714,31926,37795,30861,33562,부산광역시
직무유기,발생건수[건],건,39.0,33,37.0,64,32,44,68,55,107,132,부산광역시
직무유기·수행거부,발생건수[건],건,39.0,33,37.0,64,32,44,68,55,107,132,부산광역시
특가법(직무유기),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
폭력행위등처벌에관한법률위반(직무유기),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
직권남용,발생건수[건],건,26.0,34,27.0,34,32,47,51,60,104,155,부산광역시
직권남용(권리행사방해·체포·감금),발생건수[건],건,7.0,7,16.0,24,17,32,31,35,65,107,부산광역시
독직폭행·가혹행위,발생건수[건],건,18.0,21,9.0,10,8,13,16,18,33,40,부산광역시
피의사실공표,발생건수[건],건,,,1.0,-,-,1,1,-,1,1,부산광역시
공무상비밀누설,발생건수[건],건,1.0,4,,-,5,1,1,7,3,4,부산광역시
선거방해,발생건수[건],건,,,,-,1,-,-,-,-,-,부산광역시
"특가법(체포·감금,독직폭행·가혹행위)",발생건수[건],건,,2,1.0,-,1,-,2,-,2,3,부산광역시
증수뢰,발생건수[건],건,13.0,16,15.0,27,24,32,18,25,17,16,부산광역시
뇌물수수등,발생건수[건],건,10.0,14,11.0,13,12,16,6,14,8,8,부산광역시
뇌물공여등,발생건수[건],건,3.0,,2.0,11,8,3,3,4,2,2,부산광역시
특가법(뇌물),발생건수[건],건,,2,1.0,3,1,1,4,3,-,2,부산광역시
특가법(알선수재),발생건수[건],건,,,1.0,-,1,-,-,-,-,-,부산광역시
부패방지법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
부정청탁금지법,발생건수[건],건,,,,-,2,12,5,4,7,4,부산광역시
통화,발생건수[건],건,167.0,69,73.0,53,76,47,29,26,22,19,부산광역시
통화위조·변조,발생건수[건],건,130.0,43,53.0,34,43,28,10,15,12,13,부산광역시
특가법(통화위조),발생건수[건],건,25.0,13,7.0,2,-,-,-,1,-,-,부산광역시
기타통화에관한죄,발생건수[건],건,12.0,13,13.0,17,33,19,19,10,10,6,부산광역시
문서·인장,발생건수[건],건,1071.0,1226,1256.0,1226,826,843,922,887,829,922,부산광역시
공문서위조·변조,발생건수[건],건,192.0,161,205.0,173,177,140,160,135,123,121,부산광역시
공전자기록등위작·변작,발생건수[건],건,,3,1.0,4,4,3,5,4,7,5,부산광역시
사문서위조·변조,발생건수[건],건,826.0,990,997.0,984,604,651,675,610,527,600,부산광역시
사전자기록등위작·변작,발생건수[건],건,16.0,20,29.0,36,22,25,54,103,145,170,부산광역시
공인등의위조·부정사용및행사,발생건수[건],건,12.0,10,13.0,19,10,10,9,17,16,17,부산광역시
사인등의위조·부정사용및행사,발생건수[건],건,25.0,42,11.0,10,9,14,19,18,11,9,부산광역시
유가증권인지,발생건수[건],건,20.0,15,5.0,6,6,14,11,4,3,7,부산광역시
유가증권위조·변조,발생건수[건],건,20.0,15,5.0,6,6,13,11,4,3,7,부산광역시
우표(인지)등위조·변조,발생건수[건],건,,,,-,-,1,-,-,-,-,부산광역시
사기,발생건수[건],건,23458.0,19897,20655.0,20634,19252,22764,26598,32466,26079,27535,부산광역시
사기,발생건수[건],건,20650.0,18505,19459.0,19870,18577,21758,25544,31328,24375,25439,부산광역시
사기(상습),발생건수[건],건,577.0,146,94.0,110,47,128,27,121,16,26,부산광역시
준사기,발생건수[건],건,5.0,8,8.0,9,10,10,12,13,18,21,부산광역시
준사기(상습),발생건수[건],건,,,,-,1,-,-,-,-,-,부산광역시
컴퓨터등사용사기,발생건수[건],건,2148.0,1155,800.0,378,270,199,224,512,1255,1546,부산광역시
편의시설부정이용,발생건수[건],건,,6,29.0,88,118,63,70,81,128,179,부산광역시
부당이득,발생건수[건],건,4.0,1,5.0,5,2,6,2,7,2,9,부산광역시
부당이득(상습),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
특경법(사기),발생건수[건],건,74.0,76,260.0,173,145,158,181,132,131,189,부산광역시
보험사기방지특별법위반,발생건수[건],건,,,,1,82,442,538,272,154,126,부산광역시
횡령,발생건수[건],건,2993.0,2672,2992.0,2991,3388,3629,3887,3928,3464,4502,부산광역시
횡령,발생건수[건],건,1109.0,1087,1128.0,1039,905,924,925,908,669,750,부산광역시
업무상횡령,발생건수[건],건,510.0,554,468.0,436,463,431,477,396,391,418,부산광역시
점유이탈물등횡령,발생건수[건],건,1344.0,1012,1368.0,1487,1993,2230,2444,2581,2376,3291,부산광역시
특경법(횡령),발생건수[건],건,30.0,19,28.0,29,27,44,41,43,28,43,부산광역시
배임,발생건수[건],건,254.0,383,314.0,317,317,294,342,344,236,274,부산광역시
배임,발생건수[건],건,107.0,179,112.0,129,102,94,113,91,50,39,부산광역시
업무상배임,발생건수[건],건,119.0,154,171.0,153,142,153,195,209,144,193,부산광역시
배임수재,발생건수[건],건,8.0,27,11.0,18,41,20,14,7,10,9,부산광역시
배임증재,발생건수[건],건,,7,4.0,2,11,3,8,1,1,2,부산광역시
특경법(배임),발생건수[건],건,19.0,12,12.0,11,18,21,12,33,28,30,부산광역시
특경법(수재등),발생건수[건],건,,4,1.0,2,1,1,-,-,-,-,부산광역시
특경법(증재등),발생건수[건],건,,,,-,-,-,-,1,-,-,부산광역시
특경법(알선수재),발생건수[건],건,1.0,,3.0,2,2,2,-,2,3,1,부산광역시
풍속범죄,발생건수[건],건,3160.0,2209,2095.0,2248,3054,2263,1784,1460,1632,2039,부산광역시
성풍속범죄,발생건수[건],건,2612.0,1605,1165.0,1107,1061,1035,946,922,1137,1644,부산광역시
간통,발생건수[건],건,105.0,144,46.0,2,-,-,-,-,-,-,부산광역시
혼인빙자간음,발생건수[건],건,1.0,,,-,-,-,-,-,-,-,부산광역시
혼인빙자간음(위계간음),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
공연음란,발생건수[건],건,84.0,125,109.0,134,205,161,187,149,180,189,부산광역시
음행매개,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
"음화등반포(판매,임대,전시,제조)",발생건수[건],건,7.0,,1.0,1,1,-,-,-,-,2,부산광역시
정보통신망이용촉진및정보보호등에관한법률(음란물유포),발생건수[건],건,1066.0,386,400.0,386,211,272,152,121,50,33,부산광역시
"성폭력범죄의처벌등에관한특례법(카메라등이용촬영,반포등)",발생건수[건],건,531.0,624,320.0,278,414,365,380,304,421,364,부산광역시
성폭력범죄의처벌등에관한특례법(통신매체이용음란),발생건수[건],건,136.0,88,64.0,48,91,87,109,133,313,811,부산광역시
성폭력범죄의처벌등에관한특례법(성적목적다중이용장소침입),발생건수[건],건,10.0,44,41.0,54,40,37,45,41,32,42,부산광역시
아동·청소년의성보호에관한법률위반(아동·청소년성착취물소지·제작·배포등),발생건수[건],건,602.0,141,128.0,172,79,103,66,163,99,157,부산광역시
풍속영업의규제에관한법률,발생건수[건],건,70.0,53,56.0,32,20,10,7,5,7,1,부산광역시
"성폭력범죄의처벌등에관한특례법(허위영상물편집,반포등)",발생건수[건],건,,,,,,,,1,7,4,부산광역시
"성폭력범죄의처벌등에관한특례법(촬영물등이용협박,강요등)",발생건수[건],건,,,,,,,,5,28,41,부산광역시
도박범죄,발생건수[건],건,548.0,604,930.0,1141,1993,1228,838,538,495,395,부산광역시
도박,발생건수[건],건,461.0,381,557.0,392,689,709,382,190,158,187,부산광역시
도박(상습),발생건수[건],건,14.0,20,16.0,96,27,3,2,1,1,1,부산광역시
도박개장,발생건수[건],건,17.0,38,38.0,31,40,37,28,19,37,20,부산광역시
복표발매(중개·취득),발생건수[건],건,,2,,-,-,-,-,-,-,-,부산광역시
기타도박범죄,발생건수[건],건,56.0,163,319.0,622,1237,479,426,328,299,187,부산광역시
특별경제범죄,발생건수[건],건,5317.0,7688,14698.0,8176,4266,4063,3938,3677,3077,4192,부산광역시
"신용,업무와경매에관한죄",발생건수[건],건,1261.0,1832,2343.0,2335,1571,1515,1569,1727,1293,1418,부산광역시
여신전문금융업법위반,발생건수[건],건,300.0,523,428.0,234,246,351,270,258,223,355,부산광역시
대부업의등록및금융이용자보호에관한법률,발생건수[건],건,292.0,144,79.0,89,191,266,201,153,79,282,부산광역시
유사수신행위의규제에관한법률,발생건수[건],건,36.0,24,25.0,55,74,67,107,43,28,80,부산광역시
전자금융거래법위반,발생건수[건],건,489.0,504,736.0,406,491,577,507,439,560,1001,부산광역시
부정수표단속법,발생건수[건],건,492.0,389,247.0,242,317,278,214,106,65,127,부산광역시
조세범처벌법,발생건수[건],건,235.0,236,202.0,195,146,130,141,150,96,128,부산광역시
관세법,발생건수[건],건,2.0,1,4.0,2,2,-,-,-,-,1,부산광역시
외국환거래법,발생건수[건],건,23.0,34,29.0,13,15,2,8,10,7,13,부산광역시
지방세법,발생건수[건],건,1.0,1,3.0,-,1,1,-,1,-,2,부산광역시
저작권법,발생건수[건],건,1947.0,3719,10020.0,4039,936,633,580,380,365,411,부산광역시
특허법,발생건수[건],건,12.0,12,10.0,10,8,16,9,4,2,6,부산광역시
상표법,발생건수[건],건,107.0,144,277.0,397,150,182,213,205,183,232,부산광역시
실용신안법,발생건수[건],건,7.0,2,5.0,3,1,1,-,2,-,-,부산광역시
디자인보호법,발생건수[건],건,14.0,15,18.0,9,9,11,21,42,19,7,부산광역시
컴퓨터프로그램보호법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
특가법(관세),발생건수[건],건,,1,1.0,-,3,-,1,-,-,1,부산광역시
특가법(국고손실),발생건수[건],건,,,,-,-,-,-,-,1,-,부산광역시
특가법(조세),발생건수[건],건,13.0,5,6.0,6,5,8,10,8,10,7,부산광역시
특경법(무인가단기금융업),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
특경법(사금융알선등),발생건수[건],건,,1,1.0,2,2,-,-,-,-,1,부산광역시
특경법(재산국외도피),발생건수[건],건,,,,-,-,-,-,-,1,1,부산광역시
기타경제범죄,발생건수[건],건,86.0,101,264.0,139,98,25,87,149,145,119,부산광역시
마약범죄,발생건수[건],건,641.0,646,755.0,914,966,771,743,931,578,766,부산광역시
아편·몰핀에관한죄,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
마약류관리에관한법률(대마),발생건수[건],건,34.0,43,24.0,20,54,36,29,76,42,71,부산광역시
마약류관리에관한법률(마약),발생건수[건],건,23.0,17,8.0,30,21,21,26,37,32,100,부산광역시
마약류관리에관한법률(향정),발생건수[건],건,583.0,582,723.0,856,890,711,678,815,499,592,부산광역시
마약류불법거래방지에관한특례법,발생건수[건],건,,4,,5,1,3,10,3,3,2,부산광역시
특가법(마약),발생건수[건],건,1.0,,,1,-,-,-,-,-,1,부산광역시
특가법(향정),발생건수[건],건,,,,2,-,-,-,-,2,-,부산광역시
보건범죄,발생건수[건],건,2344.0,1765,1829.0,1875,1511,1431,1660,1708,2215,2157,부산광역시
음용수에관한죄,발생건수[건],건,,2,,1,1,-,-,2,-,3,부산광역시
공중위생관리법,발생건수[건],건,87.0,66,129.0,239,178,215,296,316,346,336,부산광역시
식품위생법,발생건수[건],건,1443.0,1012,1045.0,980,852,802,814,693,787,671,부산광역시
의료법,발생건수[건],건,141.0,259,195.0,199,241,256,367,293,198,138,부산광역시
약사법,발생건수[건],건,368.0,238,85.0,119,64,44,70,87,66,61,부산광역시
감염병예방법,발생건수[건],건,,,,-,-,-,-,225,769,877,부산광역시
보건범죄특조법(부정식품),발생건수[건],건,2.0,1,,2,-,-,2,-,-,-,부산광역시
보건범죄특조법(부정의료업자),발생건수[건],건,21.0,26,22.0,14,24,16,17,17,6,10,부산광역시
보건범죄특조법(부정의약품),발생건수[건],건,1.0,,5.0,2,1,-,-,-,1,-,부산광역시
기타보건범죄,발생건수[건],건,281.0,161,348.0,319,150,98,94,75,42,61,부산광역시
환경범죄,발생건수[건],건,74.0,107,123.0,124,170,109,126,127,196,180,부산광역시
대기환경보전법,발생건수[건],건,13.0,27,64.0,56,77,26,34,46,104,70,부산광역시
토양환경보전법,발생건수[건],건,1.0,1,1.0,2,-,-,3,-,2,1,부산광역시
수질환경보전법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
야생동·식물보호법,발생건수[건],건,1.0,,,,,,,,,,부산광역시
야생생물보호및관리에관한법률위반,발생건수[건],건,,3,2.0,5,1,-,1,2,2,5,부산광역시
특가법(산림),발생건수[건],건,,,,-,-,-,-,,,,부산광역시
폐기물관리법,발생건수[건],건,36.0,45,26.0,32,35,33,52,60,60,74,부산광역시
해양환경관리법,발생건수[건],건,1.0,1,2.0,1,1,1,-,-,-,-,부산광역시
환경범죄의단속에관한특별조치법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
기타환경범죄,발생건수[건],건,22.0,30,28.0,28,56,49,36,19,28,30,부산광역시
교통범죄,발생건수[건],건,31628.0,36030,35828.0,32945,28061,22905,20437,18200,16180,12196,부산광역시
교통사고,발생건수[건],건,15764.0,15641,15678.0,14682,13197,12885,13308,12676,10695,5957,부산광역시
교통사고처리특례법,발생건수[건],건,11606.0,11620,11444.0,10645,10280,10626,11339,10804,8887,4287,부산광역시
도로교통법,발생건수[건],건,1047.0,988,1058.0,1146,1100,1084,792,782,769,727,부산광역시
도로교통법(사고후미조치),발생건수[건],건,2243.0,2201,2247.0,1951,908,371,354,304,232,229,부산광역시
특가법(도주차량),발생건수[건],건,567.0,542,657.0,686,679,589,645,559,573,512,부산광역시
특가법(위험운전치사상),발생건수[건],건,301.0,290,272.0,254,230,215,178,187,190,141,부산광역시
특가법(어린이보호구역치사상),발생건수[건],건,,,,,,,,40,44,61,부산광역시
교통사고외,발생건수[건],건,15864.0,20389,20150.0,18263,14864,10020,7129,5524,5485,6239,부산광역시
교통방해의죄,발생건수[건],건,39.0,43,32.0,52,46,35,39,39,28,40,부산광역시
도로교통법(공동위험행위),발생건수[건],건,,,1.0,2,2,1,-,2,-,1,부산광역시
도로교통법(무면허운전),발생건수[건],건,1704.0,1920,2440.0,2325,2005,1207,1187,1345,1198,1301,부산광역시
도로교통법(음주운전),발생건수[건],건,13953.0,18260,17504.0,15672,12599,8584,5711,3946,3911,4431,부산광역시
도로교통법(음주측정거부),발생건수[건],건,126.0,132,132.0,129,121,106,106,116,144,153,부산광역시
도로법,발생건수[건],건,42.0,34,41.0,83,91,87,86,76,204,313,부산광역시
기타교통범죄,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
노동범죄,발생건수[건],건,86.0,101,186.0,149,228,56,28,18,11,35,부산광역시
근로기준법,발생건수[건],건,,2,,-,2,2,1,1,1,-,부산광역시
노동조합및노동관계조정법,발생건수[건],건,,,,-,1,-,1,1,-,-,부산광역시
산업안전보건법,발생건수[건],건,1.0,3,1.0,2,1,2,6,-,-,-,부산광역시
직업안정법,발생건수[건],건,25.0,30,38.0,25,72,25,17,13,3,13,부산광역시
기타노동범죄,발생건수[건],건,60.0,66,147.0,122,152,27,3,3,7,22,부산광역시
안보범죄,발생건수[건],건,7.0,2,4.0,6,3,-,5,5,5,14,부산광역시
공안을해하는죄,발생건수[건],건,3.0,1,,4,2,-,3,4,2,13,부산광역시
국가보안법,발생건수[건],건,4.0,1,4.0,2,1,-,1,1,2,1,부산광역시
기타안보범죄,발생건수[건],건,,,,-,-,-,1,-,1,-,부산광역시
선거범죄,발생건수[건],건,34.0,81,24.0,68,39,79,14,65,32,142,부산광역시
공직선거법,발생건수[건],건,34.0,80,1.0,67,38,78,-,64,31,141,부산광역시
정당법,발생건수[건],건,,1,,-,-,-,-,-,-,-,부산광역시
정치자금법,발생건수[건],건,,,,1,1,-,1,-,1,-,부산광역시
기타선거범죄,발생건수[건],건,,,23.0,-,-,1,13,1,-,1,부산광역시
병역범죄,발생건수[건],건,1398.0,1223,959.0,667,591,632,582,208,93,172,부산광역시
병역법,발생건수[건],건,527.0,301,239.0,194,215,162,151,98,81,109,부산광역시
예비군법위반,발생건수[건],건,871.0,921,720.0,473,376,470,431,108,12,63,부산광역시
기타병역범죄,발생건수[건],건,,1,,-,-,-,-,2,-,-,부산광역시
기타범죄,발생건수[건],건,13752.0,14606,16019.0,17862,15362,14635,15003,14613,15276,16963,부산광역시
가정폭력범죄의처벌등에관한특례법위반,발생건수[건],건,,9,5.0,2,2,20,7,13,41,78,부산광역시
개인정보보호법,발생건수[건],건,,164,134.0,130,103,131,133,167,199,209,부산광역시
건설산업기본법,발생건수[건],건,24.0,54,22.0,72,55,38,60,51,49,50,부산광역시
건설폐기물의재활용촉진에관한법률,발생건수[건],건,1.0,2,1.0,5,3,2,3,2,6,3,부산광역시
건축법,발생건수[건],건,346.0,272,299.0,224,206,255,269,144,109,93,부산광역시
게임산업진흥에관한법률,발생건수[건],건,502.0,359,1025.0,702,390,380,339,184,172,145,부산광역시
경범죄처벌법,발생건수[건],건,138.0,272,352.0,432,361,391,454,413,470,578,부산광역시
고압가스안전관리법,발생건수[건],건,3.0,3,6.0,10,6,10,85,11,8,11,부산광역시
골재채취법,발생건수[건],건,,4,2.0,2,7,1,2,-,-,-,부산광역시
공무방해에관한죄,발생건수[건],건,964.0,1109,1077.0,1177,915,854,887,896,721,873,부산광역시
공유수면관리및매립에관한법률위반,발생건수[건],건,3.0,2,4.0,4,7,2,3,1,1,3,부산광역시
공인중개사법,발생건수[건],건,68.0,156,123.0,87,86,98,70,89,76,73,부산광역시
과실치사상의죄,발생건수[건],건,341.0,366,349.0,353,450,445,469,502,443,443,부산광역시
교육환경법,발생건수[건],건,,,,,406,181,141,30,27,18,부산광역시
국민건강보험법,발생건수[건],건,5.0,14,13.0,16,22,23,16,30,18,14,부산광역시
국민연금법,발생건수[건],건,4.0,6,,1,8,7,1,2,-,3,부산광역시
국토의계획및이용에관한법률,발생건수[건],건,48.0,45,82.0,35,60,29,50,29,14,21,부산광역시
권리행사를방해하는죄,발생건수[건],건,258.0,289,353.0,537,749,911,767,613,437,346,부산광역시
낙태의죄,발생건수[건],건,1.0,3,2.0,3,-,5,-,2,-,1,부산광역시
낚시관리및육성법위반,발생건수[건],건,,,,4,-,-,-,-,-,-,부산광역시
내수면어업법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
농수산물유통및가격안정에관한법률,발생건수[건],건,61.0,8,10.0,12,13,6,9,11,6,4,부산광역시
농수산물품질관리법,발생건수[건],건,1.0,1,,-,2,-,-,-,-,-,부산광역시
농지법,발생건수[건],건,19.0,19,13.0,16,27,21,14,14,10,7,부산광역시
담배사업법,발생건수[건],건,5.0,9,23.0,6,29,12,13,8,6,2,부산광역시
도시가스사업법,발생건수[건],건,,1,6.0,3,2,2,7,12,9,1,부산광역시
도시공원및녹지등에관한법률,발생건수[건],건,6.0,1,3.0,2,7,2,-,1,4,3,부산광역시
도주와도주원조죄,발생건수[건],건,,,,1,-,-,1,-,-,1,부산광역시
독점규제및공정거래에관한법률,발생건수[건],건,,,,-,-,-,1,-,1,-,부산광역시
동물보호법,발생건수[건],건,,,,,,,,,59,74,부산광역시
명예에관한죄,발생건수[건],건,1912.0,2306,2875.0,2619,2217,2471,2701,2555,2746,2600,부산광역시
무고의죄,발생건수[건],건,294.0,247,312.0,363,332,368,402,400,343,477,부산광역시
문화재보호법,발생건수[건],건,4.0,5,3.0,2,4,4,9,6,9,3,부산광역시
밀항단속법,발생건수[건],건,21.0,20,10.0,5,-,3,1,1,-,-,부산광역시
방문판매등에관한법률,발생건수[건],건,10.0,1,8.0,6,5,10,4,12,4,2,부산광역시
배타적경제수역의외국인어업등에관한법률,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
범인은닉·범인도피죄,발생건수[건],건,9.0,10,8.0,8,9,12,7,10,2,7,부산광역시
변호사법,발생건수[건],건,20.0,34,36.0,25,21,42,14,16,19,20,부산광역시
보안관찰법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
부정경쟁방지및영업비밀보호에관한법률,발생건수[건],건,38.0,21,23.0,26,30,39,19,25,20,21,부산광역시
비밀침해죄,발생건수[건],건,4.0,9,6.0,10,8,8,14,12,5,13,부산광역시
비파괴검사기술의진흥및관리에관한법률,발생건수[건],건,,,,,,-,-,-,-,-,부산광역시
사격장안전법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
산림법,발생건수[건],건,,,,-,-,-,-,8,8,3,부산광역시
생명윤리및안전에관한법률,발생건수[건],건,1.0,,,-,-,-,-,-,-,1,부산광역시
석유및석유대체연료사업법,발생건수[건],건,60.0,25,26.0,52,41,32,37,26,11,10,부산광역시
석유사업법,발생건수[건],건,1.0,,,,,,,,,,부산광역시
선박안전법,발생건수[건],건,,1,11.0,2,7,7,-,-,-,-,부산광역시
선박직원법,발생건수[건],건,,,46.0,-,1,-,-,-,-,-,부산광역시
성매매방지및피해자보호등에관한법률위반,발생건수[건],건,2.0,2,2.0,-,2,10,-,-,2,1,부산광역시
성매매알선등행위의처벌에관한법률위반(성매매),발생건수[건],건,105.0,137,211.0,2533,771,449,287,165,231,387,부산광역시
성매매알선등행위의처벌에관한법률위반(성매매강요등),발생건수[건],건,2.0,1,2.0,1,1,1,3,-,-,1,부산광역시
성매매알선등행위의처벌에관한법률위반(성매매광고),발생건수[건],건,4.0,6,9.0,7,5,2,2,2,6,5,부산광역시
성매매알선등행위의처벌에관한법률위반(성매매알선등),발생건수[건],건,164.0,416,422.0,466,306,137,161,86,84,77,부산광역시
성매매알선등행위의처벌에관한법률위반(아동·청소년),발생건수[건],건,,,,-,3,-,-,-,-,-,부산광역시
성매매알선등행위의처벌에관한법률위반(기타),발생건수[건],건,132.0,427,278.0,466,119,91,73,49,68,53,부산광역시
성폭력범죄의처벌등에관한특례법위반(기타),발생건수[건],건,35.0,114,167.0,190,152,252,341,346,321,502,부산광역시
소방기본법,발생건수[건],건,1.0,,,3,-,1,-,2,4,5,부산광역시
수도법,발생건수[건],건,3.0,21,16.0,18,5,6,9,8,6,3,부산광역시
수산업법,발생건수[건],건,,1,,1,-,-,-,-,-,-,부산광역시
신앙에관한죄,발생건수[건],건,8.0,6,10.0,5,13,6,2,6,5,4,부산광역시
신용정보의이용및보호에관한법률,발생건수[건],건,17.0,,1.0,2,2,2,3,11,2,8,부산광역시
실화및업무상실화죄,발생건수[건],건,208.0,169,115.0,130,148,132,113,142,101,112,부산광역시
스토킹처벌법,발생건수[건],건,,,,,,,,,60,667,부산광역시
아동·청소년의성보호에관한법률위반(강요행위등),발생건수[건],건,4.0,8,10.0,4,9,9,3,4,3,2,부산광역시
아동·청소년의성보호에관한법률위반(매매),발생건수[건],건,1.0,1,2.0,-,1,-,-,-,2,-,부산광역시
아동·청소년의성보호에관한법률위반(성매수등),발생건수[건],건,23.0,11,14.0,12,46,23,18,9,10,7,부산광역시
아동·청소년의성보호에관한법률위반(알선영업행위등),발생건수[건],건,5.0,4,7.0,5,21,6,13,6,2,5,부산광역시
아동·청소년의성보호에관한법률위반(기타),발생건수[건],건,96.0,48,27.0,11,23,41,26,32,21,35,부산광역시
아동복지법,발생건수[건],건,15.0,,,,,,,,,,부산광역시
아동복지법위반(무아동복지시설의 의무위반 등),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
아동복지법위반(유기·학대 등),발생건수[건],건,,5,42.0,75,120,112,120,139,374,379,부산광역시
아동복지법위반(기타),발생건수[건],건,,42,51.0,74,93,145,202,189,273,282,부산광역시
아동학대처벌법위반(비밀유지의무위반 등),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),발생건수[건],건,,,2.0,1,18,4,10,8,57,69,부산광역시
아동학대처벌법위반(업무수행 방해 등),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
아동학대처벌법위반(유기·학대 등),발생건수[건],건,,,,1,-,1,1,-,1,1,부산광역시
아동학대처벌법위반(처분 불이행 등),발생건수[건],건,,,,-,-,2,7,1,4,14,부산광역시
아동학대처벌법위반(피해자 등에 대한 강요행위),발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
아동학대처벌법위반(기타),발생건수[건],건,,,2.0,6,7,5,3,1,6,5,부산광역시
액화석유가스의안전및사업관리법,발생건수[건],건,1.0,3,5.0,3,2,2,4,4,4,1,부산광역시
양곡관리법,발생건수[건],건,5.0,,,-,-,-,-,-,-,-,부산광역시
여객자동차운수사업법,발생건수[건],건,86.0,22,37.0,32,33,25,37,28,8,48,부산광역시
여권법,발생건수[건],건,4.0,3,1.0,5,3,4,1,9,-,-,부산광역시
영해및접속수역법,발생건수[건],건,,,,-,-,-,-,-,-,-,부산광역시
영화및비디오물의진흥에관한법률,발생건수[건],건,6.0,1,2.0,2,-,1,-,1,-,1,부산광역시
옥외광고물법위반,발생건수[건],건,9.0,5,12.0,28,57,26,3,9,4,14,부산광역시
위증죄,발생건수[건],건,163.0,180,196.0,149,141,140,129,111,102,118,부산광역시
