LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
42,NEWNEW,파티 디자인,관심기업,스크랩,[초보자가능/기숙사제공/청년내일채움공제] 사무직 배우면서 일하실 분 모집,그래픽디자이너,광고디자이너,시각디자이너,영상디자이너 외,신입,고졸↑,"경기, 충북, 강원 외",정규직,즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,,,,
43,상승16,주식회사 씨티티디,관심기업,스크랩,"프로모션 디자이너, 웹 퍼블리셔 채용",웹디자이너,UI·UX디자이너,PL·PM·PO,웹퍼블리셔 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,~05/17(금),,,,,,,,,,,,,,,,,,,,,
44,NEWNEW,프리엠컴퍼니,관심기업,스크랩,브랜드 마케팅 및 방송 콘텐츠 기획 & 디자인 경력/신입,영상디자이너,마케팅기획,콘텐츠마케터,채널관리자 외,인턴·신입·경력,대졸↑,서울,"정규직, 인턴",즉시지원,~06/08(토),,,,,,,,,,,,,,,,,,,,,,
45,상승3,㈜매스코,관심기업,스크랩,내비게이션 전자지도 DB구축 (신입/경력),그래픽디자이너,제품디자이너,3D디자이너,공간디자이너 외,경력무관,학력무관,"서울, 경기","정규직, 계약직",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
46,상승5,㈜콕스인터랙티브,관심기업,스크랩,콕스인터랙티브 2024년 경력/신입 채용,광고디자이너,영상디자이너,시각디자이너,마케팅기획 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
47,상승25,솔탑,관심기업,스크랩,[솔탑] 연구/개발직 신입 및 경력사원 모집,UI·UX디자이너,웹개발자,앱개발자,시스템엔지니어 외,신입·경력,대졸↑,"대전, 세종",정규직,즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,,,,
48,NEWNEW,에이지에스,관심기업,스크랩,에이지에스 온라인 쇼핑몰관리 정규직 채용,광고디자이너,웹디자이너,마케팅기획,퍼포먼스마케터 외,신입·경력,고졸↑,"서울, 경기",정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
49,NEWNEW,㈜선해수산,관심기업,스크랩,[㈜선해수산] 각 부문별 공개채용,웹디자이너,경영지원,서비스영업,영업지원 외,신입·경력,초대졸↑,경기,정규직,즉시지원,~07/13(토),,,,,,,,,,,,,,,,,,,,,,
50,하락4,성율코퍼레이션,관심기업,스크랩,[쇼핑몰] 2024상반기 CS매니저(운영지원) / 바이럴 마케터 / 컨텐츠 마케터 / 퍼포먼스 마케터 / 기획MD / 웹디자이너 채용,광고디자이너,시각디자이너,영상디자이너,웹디자이너 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,,,,,,,,
51,상승4,주식회사 룩캐스트,관심기업,스크랩,[패션브랜드] 룩캐스트(LOOKAST) 각 부문 상반기 채용공고,패션디자이너,공간디자이너,마케팅기획,브랜드마케터 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~05/20(월),,,,,,,,,,,,,,,,,,,,,,
52,상승96,주식회사 원교재사,관심기업,스크랩,(주)원교재사 - 경영지원/출판기획 직원 채용,광고디자이너,경영지원,영업지원,출판·편집 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
53,하락11,중앙일보㈜,관심기업,스크랩,플러스편집팀 콘텐트 편집제작 인턴 채용,그래픽디자이너,3D디자이너,산업디자이너,광고디자이너 외,인턴·신입·경력,학력무관,서울,인턴,홈페이지 지원,~05/16(목),,,,,,,1000대기업,924 위,1000대기업 순위 닫기,,,,,,,,,,,,,
54,상승2,디에이전시㈜,관심기업,스크랩,서울본사 - 디지털마케팅AE (월 인센 별도) 프로마케터 채용,광고디자이너,시각디자이너,그래픽디자이너,영상디자이너 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,채용 시 마감,~05/24(금),,,,,,,,,,,,,,,,,,,,,
55,하락3,스마트라이프텍㈜,관심기업,스크랩,[스마트라이프텍㈜] 2024년 상반기 각 부문별 신입 / 경력직 채용,그래픽디자이너,영상디자이너,브랜드마케터,퍼포먼스마케터 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,~05/24(금),,,,,,,,,,,,,,,,,,,,,
56,하락13,주식회사 중독컴퍼니,관심기업,스크랩,카페인중독 컨텐츠팀 시각디자이너 모집 ( 무료구내식당 / 업계최대복지 ),그래픽디자이너,광고디자이너,시각디자이너,,경력무관,학력무관,서울,정규직,즉시지원,~06/04(화),,,,,,,,,,,,,,,,,,,,,,
57,하락10,태평양물산,관심기업,스크랩,TP그룹(구 태평양물산) 의류벤더 일본영업 / 해외영업 / 디자인 각 부문 채용,웹디자이너,패션디자이너,해외영업,,신입·경력,초대졸↑,서울,"정규직, 계약직",즉시지원,채용 시 마감,~06/09(일),,,,,,,,,,,,,,,,,,,,,
