LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
14,,㈜신도리코,관심기업,,,,스크랩,[신도리코] 2024 상반기 채용연계형 인턴 모집,전기·전자엔지니어,기계엔지니어,웹기획,백엔드개발자 외,인턴·신입,고졸↑,"서울, 경기, 대전 외",인턴,홈페이지 지원,~05/21(화),하락5,,,,,,,,,,,,
15,,한국증권금융,관심기업,,,,스크랩,2024년 상반기 신입사원 채용,R&D·연구원,사무담당자,경영지원,경영·비즈니스기획 외,신입,학력무관,전국,정규직,홈페이지 지원,~05/20(월),하락4,,,,,,,,,,,,
16,,우미건설㈜,관심기업,,,,스크랩,우미 5월 경력사원 수시채용,설계엔지니어,경영지원,회계담당자,재무담당자 외,신입·경력,초대졸↑,"서울, 경기, 대전 외","정규직, 계약직",홈페이지 지원,~05/26(일),상승4,,,,우심홀딩스그룹,1000대기업,776 위,1000대기업 순위 닫기,,,,,
17,,㈜시스윈로보틱스,관심기업,,,,스크랩,"대기업수준 연봉,복리후생(개발,영업,기구설계,전장,셋업,제작)",기계엔지니어,설계엔지니어,설비엔지니어,반도체엔지니어 외,신입·경력,고졸↑,경기,정규직,즉시지원,~06/12(수),NEWNEW,,,,,,,,,,,,
18,,티케이지태광㈜,관심기업,1000대기업,310 위,1000대기업 순위 닫기,스크랩,[TKG 태광]2024년 상반기 각부문 공개채용,설계엔지니어,화학엔지니어,공정엔지니어,R&D·연구원 외,신입·경력,대졸↑,경남,정규직,홈페이지 지원,~05/21(화),상승6,,,,,,,,,,,,
19,,로지스올그룹,관심기업,,,,스크랩,로지스올 신입/경력사원 채용,설계엔지니어,기계엔지니어,경영·비즈니스기획,마케팅기획 외,신입·경력,대졸↑,"서울, 경기, 충북 외","정규직, 계약직",홈페이지 지원,~05/23(목),하락5,,,,,,,,,,,,
20,,㈜아이디스,관심기업,,,,스크랩,2024년 2분기 집중채용 (신입/경력),하드웨어엔지니어,설계엔지니어,전기·전자엔지니어,소프트웨어개발자 외,신입·경력,학력무관,"경기, 대전",정규직,홈페이지 지원,~05/21(화),하락5,,,,,,,,,,,,
21,,㈜에스원,관심기업,,,,스크랩,[삼성에스원] 4급 정보보안/빌딩시설관리 부문 신입사원 채용,기계엔지니어,필드엔지니어,전기·전자엔지니어,설계엔지니어 외,신입,초대졸↑,"서울, 경기, 인천 외",정규직,홈페이지 지원,~05/21(화),NEWNEW,,,,삼성그룹,1000대기업,240 위,1000대기업 순위 닫기,,,,,
22,,㈜ABB코리아,관심기업,1000대기업,642 위,1000대기업 순위 닫기,스크랩,㈜ABB코리아 각 부문 채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,설비엔지니어 외,신입·경력,학력무관,"서울, 충남, 부산 외","정규직, 계약직",홈페이지 지원,~05/31(금),상승22,,,,,,,,,,,,
23,,공무원연금공단,관심기업,,,,스크랩,2024년 공무원연금공단 사무·기술직 신입직원(채용형 인턴) 채용공고,기계엔지니어,사무담당자,도시·조경설계,토목기사 외,인턴·신입,학력무관,"서울, 전국",인턴,홈페이지 지원,오늘 18시 마감,하락7,,,,,,,,,,,,
