LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
61,,㈜제이슨컴퍼니,관심기업,스크랩,[워라벨 좋은기업] 마케팅AE 직원 모집,AE(광고기획자),브랜드마케터,퍼포먼스마케터,경력무관,고졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/25(토),,,,CRM마케터 외,하락10,,,,,,,,,,,,,,
62,,㈜비상교육,관심기업,스크랩,[주 3일 원격근무] 비상교육 전체직무 상시채용,CRM마케터,온라인마케터,콘텐츠마케터,신입·경력,학력무관,경기,정규직,홈페이지 지원,상시채용,,,,홍보 외,하락5,,,,,,,,,,,,,,
63,,㈜엔티엘헬스케어,관심기업,,,,,,온라인마케터,,,,즉시지원,~05/21(화),,,,,NEWNEW,,,,,,,,합격축하금 50만원,스크랩,(주)엔티엘헬스케어 국내사업팀 홍보 신입경력,경력무관,고졸↑,경기,정규직
64,,더블유컨셉코리아,관심기업,스크랩,[W컨셉] 상품기획 신입/경력 MD 채용 (-5/12 마감),MD,,,경력무관,초대졸↑,서울,정규직,홈페이지 지원,~05/12(일),,,,,하락14,,,,,,,,,,,,,,
65,,㈜모츠,관심기업,스크랩,2024 MOTZ 채용 공고(신입/경력),AE(광고기획자),브랜드마케터,온라인마케터,신입·경력,학력무관,서울,정규직,즉시지원,상시채용,,,,홍보 외,상승60,,,,,,,,,,,,,,
66,,㈜더오름,관심기업,스크랩,"[정착지원금 지급 : 마케팅/광고영업] 사무 보조도 할 수 있고, 하는 만큼 벌어가는 마케터 / 기본급 보장 / 크루원 모집",AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,경기,"정규직, 프리랜서",즉시지원,~05/31(금),,,,CRM마케터 외,상승17,,,,,,,,,,,,,,
67,유지,㈜크리오,관심기업,스크랩,(주)크리오 상반기 정규직 채용,온라인마케터,영업지원,광고영업,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~06/02(일),,,,생산·공정관리자 외,,,,,,,,,,,,,,,
68,,㈜아트박스,관심기업,스크랩,(주)아트박스 VMD실 신입 및 경력 사원 모집,MD,그래픽디자이너,시각디자이너,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/20(월),,,,,상승7,,,,,,,,,,,,,,
69,,㈜토소웅,관심기업,스크랩,"[토소웅화장품] 운영사업본부 운영팀, 마케팅팀, CS팀 직원 채용(신입/경력)",온라인마케터,채널관리자,사무담당자,신입·경력,학력무관,서울,정규직,즉시지원,~05/19(일),,,,사무보조 외,상승2,,,,,,,,,,,,,,
70,,㈜지엠컴,관심기업,스크랩,삼성 BSS 전시관 매니저/영어 프리젠터 각 부문 채용,MD,경영지원,사무담당자,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/17(금),,,,사무보조 외,NEWNEW,,,,,,,,,,,,,,
71,,비유피,관심기업,스크랩,[비유피]식품전문 커머스기업 상반기 정규직 채용 (신입/경력),퍼포먼스마케터,온라인마케터,MD,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~05/12(일),,,,총무 외,상승3,,,,,,,,,,,,,,
72,,신성통상㈜,관심기업,스크랩,신성통상(주) E-Biz본부 온라인MD 신입/경력채용,MD,,,신입·경력,대졸↑,서울,정규직,홈페이지 지원,오늘마감,1000대기업,403 위,1000대기업 순위 닫기,,상승9,,,,,,,,,,,,,,
73,,㈜큐브엔터테인먼트,관심기업,스크랩,(주)큐브엔터테인먼트 홍보실 온라인기획팀 채용,온라인마케터,,,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/19(일),,,,,하락4,,,,,,,,,,,,,,
74,,㈜뷰티피플인터내셔널,관심기업,스크랩,[코스메틱 브랜드 뷰티피플] 웹디자인팀/상품개발팀/해외영업팀/고객지원팀/마케팅팀/제품디자인팀/온라인팀/구매팀 채용,브랜드마케터,퍼포먼스마케터,온라인마케터,신입·경력,학력무관,서울,정규직,즉시지원,~05/17(금),,,,콘텐츠마케터 외,하락4,,,,,,,,,,,,,,
75,,도미노피자(청오디피케이),관심기업,스크랩,도미노피자 각 부문(자회사 포함) 공개 채용,CRM마케터,MD,경영·비즈니스기획,신입·경력,대졸↑,"서울, 경기, 충남",정규직,즉시지원,오늘마감,,,,웹기획 외,상승27,,,,,,,,,,,,,,
76,,MBC PlayBe (키자니아),관심기업,스크랩,MBCPLAYBE (키자니아) - 상시 채용,콘텐츠마케터,인사담당자,그래픽디자이너,경력무관,학력무관,서울,정규직,즉시지원,상시채용,,,,,상승31,,,,,,,,,,,,,,
77,,㈜D&O,관심기업,스크랩,[LG그룹 D&O] 곤지암리조트 마케팅 대졸 신입사원 수시채용 (PB상품 기획/브랜딩),브랜드마케터,CRM마케터,온라인마케터,신입,대졸↑,경기,정규직,홈페이지 지원,~05/13(월),,,,콘텐츠마케터 외,상승21,,,,LG그룹,1000대기업,82 위,1000대기업 순위 닫기,,,,,,,
78,,㈜지오앤플랜,관심기업,스크랩,[워라밸/젊은기업] 퍼포먼스팀(광고관리) 담당 채용,AE(광고기획자),온라인마케터,콘텐츠마케터,신입·경력,고졸↑,"서울, 경기, 인천",정규직,즉시지원,채용 시 마감,,,,마케팅기획 외,하락19,~05/12(일),,,,,,,,,,,,,
79,,㈜팝콘앤키키,관심기업,스크랩,양말 디자이너 / SNS운영 및 콘텐츠 기획 채용,AE(광고기획자),브랜드마케터,퍼포먼스마케터,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,채용 시 마감,,,,CRM마케터 외,하락6,~05/17(금),,,,,,,,,,,,,
80,,펀앤아이,관심기업,스크랩,"[펀비어킹] 35년차 외식본사 (메뉴개발 R&D(치킨브랜드), 슈퍼바이저, 가맹영업&점포개발)",MD,크리에이티브디렉터,채널관리자,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,마케팅기획 외,상승9,~05/31(금),,,,,,,,,,,,,
81,,㈜우양,관심기업,스크랩,각 부문 정규직 채용 (연구개발/환경부/공무팀/생산OP),MD,공무,총무,신입·경력,학력무관,"서울, 충남, 전북",정규직,즉시지원,채용 시 마감,,,,생산·공정관리자 외,하락15,~05/17(금),,,,,,,,,,,,,
82,,아이딕스,관심기업,스크랩,"온라인MD,AMD / 디자인,상세페이지, 촬영 / 세무 재고 [온라인 홈데코/뷰티]",MD,온라인마케터,콘텐츠마케터,신입·경력,초대졸↑,서울,정규직,즉시지원,~06/01(토),,,,브랜드마케터 외,하락18,,,,,,,,,,,,,,
83,,아이헤이트플라잉버그스㈜,관심기업,스크랩,2024년 상반기 영어/수학 교육 분야 채용,온라인마케터,사무담당자,사무보조,신입·경력,대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/28(화),,,,인바운드상담원 외,하락49,,,,,,,,,,,,,,
84,,디에이전시㈜,관심기업,스크랩,서울본사 - 디지털마케팅AE (월 인센 별도) 프로마케터 채용,AE(광고기획자),온라인마케터,브랜드마케터,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,채용 시 마감,,,,퍼포먼스마케터 외,상승38,~05/15(수),,,,,,,,,,,,,
85,,㈜해커스어학원,관심기업,스크랩,해커스 교육그룹 직원전환형 인턴 채용,브랜드마케터,온라인마케터,콘텐츠마케터,인턴·신입·경력,대졸↑,"서울, 전국",인턴,홈페이지 지원,~05/08(수),,,,홍보 외,하락47,,,,,,,,,,,,,,
86,,㈜로즈맘,관심기업,스크랩,[여성의류쇼핑몰] 2024년 상반기 각 분야 채용,AE(광고기획자),온라인마케터,홍보,신입·경력,고졸↑,"서울, 인천",정규직,즉시지원,내일마감,,,,MD 외,하락8,,,,,,,,,,,,,,
