시도,시군구,폐기물 종류,Unnamed: 3,합계,재활용,소각,매립,기타
,,음식물류 폐기물 분리배출,EMPTY,"229,954.50","229,759.50",0,195,0
부산,중구,합계,,"24,571.90","17,021.40","5,078.60","2,471.90",0
,,종량제방식 등 혼합배출,소계,"17,329.70","11,067.00","3,790.80","2,471.90",0
,,"재활용 
가능자원
 분리배출",소계,"2,919.40","1,631.60","1,287.80",0,0
,,음식물류 폐기물 분리배출,EMPTY,"4,322.80","4,322.80",0,0,0
부산,서구,합계,,"23,870.20","20,860.30","1,797.20","1,212.70",0
,,종량제방식 등 혼합배출,소계,"12,733.50","9,735.60","1,797.20","1,200.70",0
,,"재활용 
가능자원
 분리배출",소계,"3,562.70","3,550.70",0,12,0
,,음식물류 폐기물 분리배출,EMPTY,"7,574.00","7,574.00",0,0,0
부산,동구,합계,,"25,524.10","19,621.40","2,911.70","2,991.00",0
,,종량제방식 등 혼합배출,소계,"14,765.50","8,862.80","2,911.70","2,991.00",0
,,"재활용 
가능자원
 분리배출",소계,"4,661.30","4,661.30",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"6,097.30","6,097.30",0,0,0
부산,영도구,합계,,"26,460.60","21,396.40","2,471.90","2,592.30",0
,,종량제방식 등 혼합배출,소계,"11,576.30","6,609.30","2,374.70","2,592.30",0
,,"재활용 
가능자원
 분리배출",소계,"6,310.90","6,213.70",97.2,0,0
,,음식물류 폐기물 분리배출,EMPTY,"8,573.40","8,573.40",0,0,0
부산,부산진구,합계,,"95,117.50","77,953.90","11,338.50","5,825.10",0
,,종량제방식 등 혼합배출,소계,"50,618.30","33,454.70","11,338.50","5,825.10",0
,,"재활용 
가능자원
 분리배출",소계,"23,773.50","23,773.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"20,725.70","20,725.70",0,0,0
부산,동래구,합계,,"68,452.30","58,994.80","6,961.50","2,496.00",0
,,종량제방식 등 혼합배출,소계,"33,489.20","24,031.70","6,961.50","2,496.00",0
,,"재활용 
가능자원
 분리배출",소계,"17,328.80","17,328.80",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"17,634.30","17,634.30",0,0,0
부산,남구,합계,,"59,659.80","49,206.20","6,493.60","3,960.00",0
,,종량제방식 등 혼합배출,소계,"29,382.20","19,091.50","6,459.80","3,830.90",0
,,"재활용 
가능자원
 분리배출",소계,"16,317.20","16,283.40",33.8,0,0
,,음식물류 폐기물 분리배출,EMPTY,"13,960.40","13,831.30",0,129.1,0
부산,북구,합계,,"64,283.50","53,738.00","7,087.60","3,457.90",0
,,종량제방식 등 혼합배출,소계,"22,925.40","12,379.90","7,087.60","3,457.90",0
,,"재활용 
가능자원
 분리배출",소계,"22,771.30","22,771.30",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"18,586.80","18,586.80",0,0,0
부산,해운대구,합계,,"95,587.20","74,120.40","16,829.60","4,637.20",0
,,종량제방식 등 혼합배출,소계,"44,727.60","23,351.00","16,739.40","4,637.20",0
,,"재활용 
가능자원
 분리배출",소계,"24,854.90","24,764.70",90.2,0,0
,,음식물류 폐기물 분리배출,EMPTY,"26,004.70","26,004.70",0,0,0
부산,사하구,합계,,"75,046.50","58,985.20","9,590.30","6,471.00",0
,,종량제방식 등 혼합배출,소계,"41,155.40","25,128.30","9,556.10","6,471.00",0
