LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35
43,하락1,중앙법률사무교육원,관심기업,스크랩,법률사무원 취업교육과정(종합반) 모집 - 법원견학 실습 추가,학원상담·운영,기술·전문강사,사무담당자,총무 외,경력무관,학력무관,"서울, 경기, 인천",연수생/교육생,즉시지원,~06/01(토),,,,,,,,,,,,,,,,,,,
44,하락23,삼성샛별유치원,관심기업,스크랩,24년 삼성샛별유치원 행정직원 채용공고,교직원·조교,사무보조,총무,,경력무관,학력무관,충남,계약직,즉시지원,내일마감,,,,,,,,,,,,,,,,,,,
45,NEWNEW,㈔한국지식재산서비스협회,관심기업,스크랩,(교육행정/협회사무) 한국지식재산서비스협회 직원(정규직) 모집,학원상담·운영,총무,경리,,경력무관,초대졸↑,서울,정규직,즉시지원,~05/29(수),,,,,,,,,,,,,,,,,,,
46,하락1,칼빈대학교,관심기업,스크랩,[칼빈대학교 국제교육원] 유학생 관련 비자업무 신입직원 채용,학교·특수학교교사,학원상담·운영,학원강사,외국어강사 외,신입,서울,"정규직, 계약직",,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,
47,하락13,에스케이텔레콤씨에스티원㈜,관심기업,스크랩,[T1 Esports Academy] TESA Project Manager 채용,학원상담·운영,,,,경력무관,학력무관,서울,아르바이트,즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,
48,상승16,스튜디오리코㈜,관심기업,스크랩,[STUDIO LICO] 웹툰 한영 번역 검수 채용 (재택근무),학원강사,외국어강사,통번역사,,경력무관,학력무관,경기,계약직,홈페이지 지원,채용 시 마감,,,,~05/29(수),,,,,네이버그룹,,,,,,,,,,
49,상승92,㈜라온아띠,관심기업,스크랩,"[(주)라온아띠] 실버 강사 채용(체육,미술,음악,국악)",학원강사,스포츠강사,사회복지사,,경력무관,고졸↑,경기,"계약직, 프리랜서",즉시지원,상시채용,,,,,,,,,,,,,,,,,,,
50,하락2,㈜제이엘에스에듀,관심기업,스크랩,"[ 수원/파주운정/남동탄/천안불당 ] 초등, 중등 강사/교수팀장/상담실장/행정직원 채용",학교·특수학교교사,학원강사,외국어강사,학원상담·운영 외,신입·경력,대졸↑,"경기, 충남","정규직, 계약직",즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,
51,상승22,쥬니멀(부산 경남),관심기업,스크랩,[쥬니멀] 영유아 동물체험강사 2024 신규 채용 공고,유치원·보육교사,학교·특수학교교사,학습지·방문교사,,경력무관,학력무관,부산,프리랜서,즉시지원,~06/16(일),,,,,,,,,,,,,,,,,,,
52,상승2,뉴튼아카데미㈜(Newton a,관심기업,스크랩,[Newton Academy] 국제학교 직원 채용,교직원·조교,경영지원,총무,,경력무관,대졸↑,서울,"정규직, 계약직",즉시지원,상시채용,,,,,,,,,,,,,,,,,,,
53,상승24,센텀직업전문학교,관심기업,스크랩,[전액국비지원]2024년 상반기 취업준비생 모집,기술·전문강사,직업상담사,,,경력무관,학력무관,부산,연수생/교육생,홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,
54,상승15,㈜DYB최선어학원,관심기업,스크랩,[직영] 영어선생님 채용,학교·특수학교교사,학원강사,외국어강사,학원상담·운영 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,채용 시 마감,,,,~06/08(토),,,,,,,,,,,,,,,
55,상승28,㈜정상JLS,관심기업,스크랩,2024년 정상어학원 (본사 직영) 신입/경력직원 모집,학원강사,외국어강사,학습지·방문교사,학원상담·운영 외,신입·경력,초대졸↑,서울,정규직,홈페이지 지원,~05/31(금),,,,,,,,,,,,,,,,,,,
56,,㈜위런에듀,관심기업,스크랩,"[재택근무] 일본어 번역, 내용 확인 및 표현 추가, 후리가나 변환",외국어강사,학원강사,통번역사,,경력무관,학력무관,서울,"프리랜서, 아르바이트",즉시지원,~05/30(목),,,,,유지,,,,,,,,,,,,,,
57,NEWNEW,㈜퍼플아카데미,관심기업,,,,,,,교직원·조교,,,,즉시지원,~06/20(목),,,,,,,,,,합격축하금 50만원,스크랩,교육행정기획 및 사무(신입/경력) 사원모집,경력무관,대졸↑,서울,정규직,,,
58,하락22,토크스테이션,관심기업,스크랩,[초등화상영어 1위] 토크스테이션 추가 채용(마케팅팀(분야별) / 아이딕 홈스쿨링팀 /강사관리팀/ 웹앱기획 /운영중앙관리팀 공고),학원강사,외국어강사,학원상담·운영,교재개발·교수설계 외,신입·경력,대졸↑,서울,정규직,즉시지원,상시채용,,,,,,,,,,,,,,,,,,,
59,상승16,한국외국인학교,관심기업,스크랩,[한국외국인학교] ES Korean language teacher,교직원·조교,학교·특수학교교사,,,신입·경력,초대졸↑,경기,계약직,즉시지원,내일마감,,,,,,,,,,,,,,,,,,,
60,상승48,㈜위런에듀,관심기업,스크랩,[재택근무] 영어 단어 콘텐츠 작성,학원강사,외국어강사,학습지·방문교사,,경력무관,학력무관,서울,프리랜서,즉시지원,~05/30(목),,,,,,,,,,,,,,,,,,,
61,하락21,시그니처라벨,관심기업,스크랩,향수공방 퍼퓸디자이너 채용-공예청년 인턴십사업,기술·전문강사,,,,인턴·경력무관,학력무관,서울,인턴,즉시지원,상시채용,,,,,,,,,,,,,,,,,,,
62,하락11,㈜헤럴드융합교육연구소,관심기업,스크랩,행정사무직원 모집,학교·특수학교교사,총무,경리,,경력무관,학력무관,울산,정규직,,채용 시 마감,,,,~05/22(수),,공고마감,,,,,,,,,,,,,
