LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
20,,㈜해커스어학원,관심기업,,,,스크랩,2024년 해커스교육그룹 신입 및 경력사원 채용,세무담당자,재무담당자,웹기획,PL·PM·PO 외,인턴·신입·경력,초대졸↑,"서울, 경기, 대구","정규직, 계약직 외",즉시지원,~05/31(금),하락8,,,,,,,,,,,,,,
21,,㈜원봉,관심기업,,,,스크랩,2024년 상반기 채용공고,회계담당자,물류관리자,서비스영업,해외영업 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,~05/24(금),하락8,,,,,,,,,,,,,,
22,,㈜원익QnC,관심기업,우수기업,,우수기업 설명 닫기,스크랩,[원익큐엔씨] 신입/경력사원 모집,회계담당자,생산직종사자,유통관리자,,경력무관,고졸↑,"경기, 경북",정규직,홈페이지 지원,~05/12(일),상승27,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,
23,,동화기업㈜,관심기업,,,,스크랩,동화그룹 신입/경력사원 채용,회계담당자,경리,세무담당자,관세사 외,신입·경력,고졸↑,"서울, 인천, 충남",정규직,홈페이지 지원,~05/10(금),하락2,,,,,,,,,,,,,,
24,,우미건설㈜,관심기업,,,,스크랩,우미 5월 경력사원 수시채용,회계담당자,재무담당자,경영지원,공간디자이너 외,신입·경력,초대졸↑,"서울, 경기, 대전 외","정규직, 계약직",홈페이지 지원,내일마감,상승1,,,,,,,,,,,우심홀딩스그룹,1000대기업,776 위,1000대기업 순위 닫기
25,,㈜세인상사,관심기업,,,,스크랩,경리부 신입사원 채용,경리,회계담당자,세무담당자,재무담당자 외,신입,대졸↑,서울,정규직,즉시지원,~07/02(화),하락5,,,,,,,,,,,,,,
26,,㈜컴투스,관심기업,,,,스크랩,[컴투스 그룹] 각 부문별 경력/신입 인재채용,회계담당자,재무담당자,감사,IR·공시 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),하락4,,,,,,,,,,,,,,
27,유지,디와이피엔에프㈜,관심기업,,,,스크랩,디와이피엔에프㈜ 신입/경력사원 공개채용,경리,경영·비즈니스기획,자재관리자,제품영업 외,신입·경력,초대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~05/31(금),,,,,,,,,,,,,,,
28,,인천공항에너지㈜,관심기업,,,,스크랩,2024년 상반기 신입직원 채용,회계담당자,세무담당자,경영·비즈니스기획,경영지원 외,신입,학력무관,인천,정규직,홈페이지 지원,~05/10(금),상승10,,,,,,,,,,,,,,
29,,엘에스엠앤엠㈜,관심기업,,,,스크랩,엘에스엠앤엠㈜ 각 부문 신입/경력 수시채용,재무담당자,경영·비즈니스기획,시스템엔지니어,설비엔지니어 외,신입·경력,대졸↑,"서울, 울산",정규직,홈페이지 지원,~05/15(수),상승48,,,,,,,,,,,LS그룹,1000대기업,50 위,1000대기업 순위 닫기
30,,한국등산트레킹지원센터,관심기업,,,,스크랩,2024년도 한국등산·트레킹지원센터 정규직(5급) 공개경쟁 채용 공고,재무담당자,사무담당자,총무,학교·특수학교교사 외,신입·경력,학력무관,대전,정규직,홈페이지 지원,~05/17(금),하락12,,,,,,,,,,,,,,
31,,KB캐피탈㈜,관심기업,,,,스크랩,KB캐피탈 각 부문 채용(계약직),경리,사무담당자,사무보조,영업관리 외,신입·경력,학력무관,"서울, 경기, 전북",계약직,즉시지원,~05/08(수),하락5,,,,,,,,,,,KB금융그룹,,,
32,,대구농수산물유통관리공사,관심기업,,,,스크랩,2024년도 직원 채용공고(일반행정/전산행정/기계/건축/전기),회계담당자,경영·비즈니스기획,사무담당자,총무 외,신입·경력,학력무관,"대구, 경북",정규직,홈페이지 지원,~05/08(수),상승9,,,,,,,,,,,,,,
33,,㈜피라인모터스,관심기업,,,,스크랩,각 분야 신입/경력 모집 (회계/자금/법무관재/영업/반출관리/사업관리/사업지원/신사업부/해외사업부/통번역/자동차연구소(개발)/자동차연구소(인증)/충전사업관리/충전인프라관리),회계담당자,경리,재무담당자,경영·비즈니스기획 외,신입·경력,대졸↑,"서울, 경기, 인천",정규직,즉시지원,채용 시 마감,상승12,~05/31(금),,,,,,,,,,,,,
34,,인카금융서비스㈜,관심기업,,,,스크랩,2024 인카금융서비스 대졸 신입사원 공개채용,회계담당자,재무담당자,마케팅기획,영업관리 외,경력무관,대졸↑,"서울, 경기, 인천",정규직,즉시지원,~05/31(금),하락6,,,,,,,,,,,,,,
35,,깨끗한나라㈜,관심기업,1000대기업,447 위,1000대기업 순위 닫기,스크랩,2024 2분기 수시채용[국내영업(경력)/해외영업(신입)/회계(신입)],회계담당자,회계사,제품영업,해외영업 외,신입·경력,대졸↑,서울,정규직,홈페이지 지원,~05/07(화),상승5,,,,,,,,,,,,,,
36,,㈜위즈코리아,관심기업,,,,스크랩,㈜위즈코리아 `24년도 상반기 직무별 신입/경력자 정기채용,재무담당자,경영·비즈니스기획,웹기획,총무 외,인턴·신입·경력,초대졸↑,"서울, 대전, 광주 외","정규직, 인턴 외",즉시지원,~05/31(금),상승6,,,,,,,,,,,,,,
37,,㈜한국크레딕라이프,관심기업,,,,스크랩,"[토스플레이스 자회사] HR, 재무/회계, 영업/거래처관리,  고객직원, 현장대응 부문별 채용",재무담당자,세무담당자,법인영업,영업관리 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,하락4,~06/29(토),,,,,,,,,,,,,
38,,㈜ 국제스케폴딩,관심기업,,,,스크랩,"[서울본사, 부산지사,  강릉지사] 영업팀,경영지원팀 직원 채용",회계담당자,사무담당자,총무,사무보조 외,신입·경력,초대졸↑,"서울, 광주, 부산 외",정규직,즉시지원,~06/03(월),상승5,,,,,,,,,,,,,,
39,,㈜메코,관심기업,,,,스크랩,(주)메코 경리회계 및 영업본부 식품영업 신입/경력 채용,회계담당자,재무담당자,세무담당자,경리 외,신입·경력,초대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~05/31(금),하락7,,,,,,,,,,,,,,
40,,㈜다우데이타,관심기업,,,,스크랩,[다우키움그룹] 2024년 다우데이타 2분기 채용,재무담당자,회계담당자,IR·공시,경영·비즈니스기획 외,신입·경력,대졸↑,서울,정규직,홈페이지 지원,내일마감,하락11,,,,,,,,,,,다우키움그룹,,,
41,,아리온통신㈜,관심기업,,,,스크랩,아리온통신㈜ 관리부 회계담당자 모집 채용,회계담당자,경리,회계사,재무담당자 외,신입·경력,학력무관,서울,정규직,즉시지원,~05/07(화),하락2,,,,,,,,,,,,,,
42,,㈜대명엔컴,관심기업,,,,스크랩,회계사무직(경력1년이상) 및 사무보조(신입) 정직원모집,회계담당자,경리,사무담당자,사무보조 외,신입·경력,학력무관,인천,정규직,즉시지원,~06/02(일),하락6,,,,,,,,,,,,,,
