LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
39,상승1,쿼드스페이스㈜,관심기업,,,,,스크랩,쿼드스페이스 인테리어 시공팀 / 설계팀 / 공무팀 채용,인사담당자,경영·비즈니스기획,경영지원,사무담당자 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~06/07(금),,,,,,,,,,,,
40,상승12,㈜삼우종합건축사사무소,관심기업,삼성그룹,,,,스크랩,2024년 채용연계형 인턴십 모집 - 경영지원,인사담당자,경영지원,설계엔지니어,재무담당자 외,인턴·신입,"서울, 경기, 충남",인턴,,홈페이지 지원,~05/26(일),,,,,,,,,,,,
41,NEWNEW,수원여자대학교,관심기업,,,,,스크랩,수원여자대학교 혁신지원사업 직원 채용 공고,직업상담사,회계담당자,교직원·조교,회계사 외,경력무관,초대졸↑,"서울, 경기",계약직,즉시지원,~05/27(월),,,,,,,,,,,,
42,상승15,㈜에스앤에스,관심기업,,,,,스크랩,2024년 상반기 각 분야 정규직 모집,HRD·HRM,노무관리자,PL·PM·PO,경영지원 외,신입·경력,초대졸↑,"경기, 충북, 전국",정규직,즉시지원,상시채용,,,,,,,,,,,,
43,하락2,호텔에이치디씨㈜ 보코 서울 명동,관심기업,,,,,스크랩,보코(VOCO) 서울 명동 각 부문 신입 및 경력 공개 채용,인사담당자,HRD·HRM,회계담당자,홍보 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~06/06(목),,,,,,,,,,,,
44,하락8,(재)경기도일자리재단,관심기업,,,,,스크랩,2024년 경기청년 일자리 매치업 취업지원 사업,인사담당자,HRD·HRM,브랜드마케터,프론트엔드개발자 외,신입·경력,학력무관,경기,정규직,홈페이지 지원,채용 시 마감,,,,,,,,,,~05/25(토),,
45,상승5,㈜티지디,관심기업,,,,,스크랩,[(주)티지디] 태극당 본사 인사팀 채용,인사담당자,HRD·HRM,,,경력무관,학력무관,서울,정규직,즉시지원,~06/16(일),,,,,,,,,,,,
46,상승3,㈜서부티엔디,관심기업,,,,,스크랩,[서울드래곤시티] 각 부문별 공개채용,인사담당자,HRD·HRM,마케팅기획,회계담당자 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,상시채용,,,,,,,,,,,,
47,상승1,㈜한미글로벌건축사사무소,관심기업,,,,,스크랩,(한미글로벌) 인사팀 Payroll 담당자 모집,HRD·HRM,,,,경력무관,학력무관,서울,계약직,즉시지원,~05/29(수),,,,,,,,,,,,
48,NEWNEW,주식회사 와우아이앤씨,관심기업,,,,,스크랩,(정규직)신입 초봉3500/아웃소싱 관리자 모집/영업관리 및 인사관리,인사담당자,HRD·HRM,잡매니저,영업관리 외,신입·경력,초대졸↑,"서울, 경기, 인천",정규직,즉시지원,~06/20(목),,,,,,,,,,,,
