죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
일수와수리에관한죄,발생건수[건],건,1,0,0,0,1,0,0,경기
자동차관리법,발생건수[건],건,11536,5725,3141,3716,4627,4525,4586,경기
자동차손해배상보장법,발생건수[건],건,22169,10899,2892,2075,1728,1172,961,경기
자연공원법,발생건수[건],건,16,9,10,9,18,1,2,경기
장물에관한죄,발생건수[건],건,368,297,161,109,89,61,61,경기
장사등에관한법률,발생건수[건],건,26,22,19,27,31,18,13,경기
재난및안전관리기본법,발생건수[건],건,2,0,3,2,2,2,0,경기
전기통신기본법,발생건수[건],건,23,48,120,183,439,1247,1412,경기
전파법,발생건수[건],건,0,6,3,3,3,4,8,경기
정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),발생건수[건],건,15,11,5,3,14,7,2,경기
정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),발생건수[건],건,1212,1290,1485,1824,2333,3064,3300,경기
정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),발생건수[건],건,458,432,526,722,987,749,898,경기
정보통신망이용촉진및정보보호등에관한법률위반(기타),발생건수[건],건,704,638,734,718,862,1331,722,경기
정신건강복지법,발생건수[건],건,0,1,5,6,1,2,1,경기
주거침입의죄,발생건수[건],건,2634,2803,3305,4052,4467,4396,4238,경기
주민등록법,발생건수[건],건,593,441,419,425,558,359,421,경기
주차장법,발생건수[건],건,11,23,24,15,14,5,9,경기
집회및시위에관한법률,발생건수[건],건,26,19,31,30,18,29,43,경기
채무자회생및파산에관한법률위반,발생건수[건],건,20,14,14,15,19,16,18,경기
철도안전법,발생건수[건],건,1,2,5,4,5,5,3,경기
청소년보호법,발생건수[건],건,2080,2203,2028,1911,1774,1049,1475,경기
총포·도검·화약류등의안전관리에관한법률,발생건수[건],건,386,72,51,66,66,66,124,경기
축산물위생관리법,발생건수[건],건,245,149,51,55,21,37,35,경기
출입국관리법,발생건수[건],건,727,711,880,1081,734,338,324,경기
통신비밀보호법,발생건수[건],건,29,28,40,48,49,48,62,경기
특가법(무고),발생건수[건],건,0,0,0,0,1,0,1,경기
특가법(장물),발생건수[건],건,0,0,0,0,0,0,0,경기
특경법(보고의무),발생건수[건],건,0,0,0,0,0,0,0,경기
폭력행위등처벌에관한법률위반(기타),발생건수[건],건,0,0,1,1,0,1,0,경기
하수도법,발생건수[건],건,35,36,26,22,13,24,19,경기
하천법,발생건수[건],건,59,56,67,69,75,50,30,경기
학원의설립·운영및과외교섭에관한법률,발생건수[건],건,253,178,196,117,57,85,62,경기
항만운송사업법,발생건수[건],건,1,0,0,0,0,0,0,경기
"허위감정,증거인멸·은닉,증인은닉죄",발생건수[건],건,18,13,10,26,12,22,30,경기
형사소송법,발생건수[건],건,0,0,0,1,1,1,2,경기
형의실효등에관한법률,발생건수[건],건,1,2,1,1,1,1,4,경기
화물자동차운수사업법,발생건수[건],건,434,828,882,863,614,279,249,경기
기타,발생건수[건],건,4761,4852,4467,4515,4428,3532,3818,경기
