LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
46,상승5,㈜단비교육,관심기업,,,,스크랩,에듀테크 1등 기업 단비교육 (프론트엔드개발/백엔드개발/중등국어기획/콘텐츠정리/온라인마케팅/글로벌비즈니스/학원영업관리/학원홍보상담/웹디자인/애니메이터/일러스트),인바운드상담원,아웃바운드상담원,고객센터관리자,웹기획 외,신입·경력,학력무관,서울,"정규직, 계약직",홈페이지 지원,~05/31(금),,,,,,,,,,,,,,,
47,상승6,㈜이티씨컴퍼니,관심기업,,,,스크랩,"이티씨컴퍼니 의류디자이너 / 패션 MD 신입, 경력사원 채용",인바운드상담원,경영·비즈니스기획,브랜드마케터,MD 외,신입·경력,학력무관,서울,정규직,즉시지원,~06/16(일),,,,,,,,,,,,,,,
48,NEWNEW,㈜에듀토셀,관심기업,,,,스크랩,[고려대학교 인증 토셀] 일반사무 / 고객응대 / 마케팅,인바운드상담원,아웃바운드상담원,고객센터관리자,사무담당자 외,신입·경력,초대졸↑,서울,"정규직, 계약직",즉시지원,~06/20(목),,,,,,,,,,,,,,,
49,하락16,㈜한국크레딕라이프,관심기업,,,,스크랩,"[토스플레이스 자회사] 재무/회계, 영업/거래처관리,  고객직원 부문별 채용",인바운드상담원,재무담당자,법인영업,영업관리 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,~06/29(토),,,,,,,,,,,,,,
50,하락6,㈜보라웨어,관심기업,,,,스크랩,"자사솔루션 문의답변, 전산/사무 (신입/경력, 정시퇴근)",인바운드상담원,고객센터관리자,경영지원,사무담당자 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,~06/07(금),,,,,,,,,,,,,,
51,상승7,월드SM,관심기업,,,,스크랩,영등포구 광고기획사 신입 남녀무관 채용 (사무지원/기획/마케팅 운영팀원 채용),인바운드상담원,마케팅기획,AE(광고기획자),브랜드마케터 외,신입,학력무관,서울,"정규직, 계약직",즉시지원,채용 시 마감,내일마감,,,,,,,,,,,,,,
52,상승2,㈜태영에스테이트,관심기업,,,,스크랩,"(상반기 공고)송파구 최대 규모 15년차 우수기업, 자산관리사, 공인중개사 채용[신입기준/연봉 5,000-7,000만]",인바운드상담원,아웃바운드상담원,고객센터관리자,홍보 외,신입·경력,고졸↑,"서울, 경기",정규직,즉시지원,~06/13(목),,,,,,,,,,,,,,,
53,상승39,㈜당근서비스,관심기업,,,,스크랩,당근 고객센터 단기계약직 모집(실업급여 가능),인바운드상담원,고객센터관리자,,,경력무관,학력무관,서울,계약직,즉시지원,~06/15(토),,,,,,,,,,,,,,,
54,하락11,엔에이치엔서비스 주식회사(NHN Service Corporation),관심기업,,,,스크랩,[NHN Service][서울] 고객상담(정규직) 채용,인바운드상담원,아웃바운드상담원,고객센터관리자,사무보조 외,경력무관,학력무관,"서울, 경기",정규직,즉시지원,내일마감,,,,,,,,,,,,,,,
55,하락7,도깨비 트래블,관심기업,,,,스크랩,도깨비트래블 베트남 자유여행사 사무직 (견적안내 및 예약상담),인바운드상담원,아웃바운드상담원,사무보조,여행에이전트 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,~06/16(일),,,,,,,,,,,,,,,
56,상승4,㈜웅진씽크빅,관심기업,,,,스크랩,[웅진북클럽] [재택] 스마트올 담임교사 모집 [재택근무],인바운드상담원,아웃바운드상담원,사무보조,영업관리 외,경력무관,대졸↑,"서울, 경기, 인천",위촉직/개인사업자,즉시지원,~06/21(금),,,,,,,,,,,,,,,
57,상승36,스마트라이프텍㈜,관심기업,,,,스크랩,[스마트라이프텍㈜] 2024년 상반기 각 부문별 신입 / 경력직 채용,인바운드상담원,고객센터관리자,브랜드마케터,퍼포먼스마케터 외,신입·경력,학력무관,서울,정규직,즉시지원,채용 시 마감,내일마감,,,,,,,,,,,,,,
