LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
21,,㈜유한양행,관심기업,스크랩,㈜유한양행 사원 모집,백엔드개발자,웹개발자,시스템엔지니어,홍보 외,신입·경력,대졸↑,"서울, 경기",정규직,홈페이지 지원,~05/07(화),하락2,1000대기업,308 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,,,
22,,오스템임플란트㈜,관심기업,스크랩,오스템임플란트 연구·개발 부문 채용,백엔드개발자,프론트엔드개발자,웹개발자,시스템엔지니어 외,신입·경력,초대졸↑,서울,정규직,홈페이지 지원,~05/12(일),상승13,우수기업,,우수기업 설명 닫기,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
23,,㈜해커스어학원,관심기업,스크랩,2024년 해커스교육그룹 신입 및 경력사원 채용,웹개발자,앱개발자,시스템엔지니어,네트워크엔지니어 외,인턴·신입·경력,초대졸↑,"서울, 경기, 대구","정규직, 계약직 외",즉시지원,~05/31(금),하락7,,,,,,,,,,,,,,,,,,,,,
24,,㈜디에이피,관심기업,스크랩,(주)디에이피 안성공장 2024년 상반기 채용(기숙사 있음),시스템엔지니어,네트워크엔지니어,사무담당자,사무보조 외,신입·경력,학력무관,경기,정규직,즉시지원,오늘마감,상승7,1000대기업,930 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,,,
25,,㈜원봉,관심기업,스크랩,2024년 상반기 채용공고,하드웨어개발자,시스템엔지니어,회계담당자,물류관리자 외,신입·경력,대졸↑,"서울, 경기",정규직,즉시지원,~05/24(금),하락4,,,,,,,,,,,,,,,,,,,,,
26,,메가스터디교육㈜,관심기업,,,,,,,웹개발자,,,,즉시지원,~05/31(금),상승37,,,,,,,,,,,합격축하금 50만원,스크랩,공무원 웹개발자 채용,경력무관,학력무관,서울,정규직,,,,
27,,동화기업㈜,관심기업,스크랩,동화그룹 신입/경력사원 채용,보안엔지니어,소프트웨어개발자,비서,회계담당자 외,신입·경력,고졸↑,"서울, 인천, 충남",정규직,홈페이지 지원,~05/10(금),하락1,,,,,,,,,,,,,,,,,,,,,
28,,㈜네오플,관심기업,스크랩,2024 네오플 신입·경력 대규모 공개채용,게임개발자,백엔드개발자,프론트엔드개발자,웹개발자 외,신입·경력,학력무관,"서울, 제주",정규직,홈페이지 지원,~05/12(일),하락3,1000대기업,650 위,1000대기업 순위 닫기,,,,,,,,,,,,,,,,,,
29,,㈜컴투스,관심기업,스크랩,[컴투스 그룹] 각 부문별 경력/신입 인재채용,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),하락2,,,,,,,,,,,,,,,,,,,,,
30,,토스씨엑스㈜,관심기업,스크랩,토스씨엑스 Tech 직군 적극 채용 중,시스템엔지니어,네트워크엔지니어,보안엔지니어,백엔드개발자 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/13(월),하락20,,,,,,,,,,,,,,,,,,,,,
